ISO 639 code	BCP-47 code	Number of speakers (rounded)	Writing system(s), ISO 15924	Name (Glottolog)	Glottocode (Glottolog)	Region, ISO 3166 (Glottolog)	Link to Glottolog	Alternative Name(s)	Endonym	Link to Wikipedia
dun	dun	10K-100K	Cyrl,Latn	Dusun Deyah	dusu1271	ID	https://glottolog.org/resource/languoid/id/dusu1271			https://en.wikipedia.org/w/index.php?title=ISO_639:dun
duo	duo	<10K	Latn	Dupaninan Agta	dupa1235	PH	https://glottolog.org/resource/languoid/id/dupa1235			https://en.wikipedia.org/w/index.php?title=ISO_639:duo
dur	dur	10K-100K	Latn	Dii	diii1241	CM	https://glottolog.org/resource/languoid/id/diii1241			https://en.wikipedia.org/w/index.php?title=ISO_639:dur
dux	dux	10K-100K	Latn	Duungooma	duun1242	ML	https://glottolog.org/resource/languoid/id/duun1242			https://en.wikipedia.org/w/index.php?title=ISO_639:dux
dva	dva	<10K	Latn	Duau	duau1237	PG	https://glottolog.org/resource/languoid/id/duau1237			https://en.wikipedia.org/w/index.php?title=ISO_639:dva
dwr	dwr	500000	Latn	Dawro	dawr1236	ET	https://glottolog.org/resource/languoid/id/dawr1236			https://en.wikipedia.org/w/index.php?title=ISO_639:dwr
dww	dww	<10K	Latn	Dawawa	dawa1242	PG	https://glottolog.org/resource/languoid/id/dawa1242			https://en.wikipedia.org/w/index.php?title=ISO_639:dww
dwy	dwy	<10K	Latn	Dhuwaya	n/a		n/a			https://en.wikipedia.org/w/index.php?title=ISO_639:dwy
dyi	dyi	10K-100K	Latn	Djimini Senoufo	djim1235	CI	https://glottolog.org/resource/languoid/id/djim1235			https://en.wikipedia.org/w/index.php?title=ISO_639:dyi
dyo	dyo	400000	Latn	Jola-Fonyi	jola1263	GM, GW, SN	https://glottolog.org/resource/languoid/id/jola1263			https://en.wikipedia.org/w/index.php?title=ISO_639:dyo
dyu	dyu	16000000	Latn,Nkoo	Dyula	dyul1238	BF, CI, ML	https://glottolog.org/resource/languoid/id/dyul1238		Julakan	https://en.wikipedia.org/w/index.php?title=ISO_639:dyu
dzg	dzg	400000	Latn	Dazaga	daza1242	TD, LY, NE, SD	https://glottolog.org/resource/languoid/id/daza1242		Dazaga	https://en.wikipedia.org/w/index.php?title=ISO_639:dzg
dzo	dz	200000	Tibt	Dzongkha	dzon1239	BT, CN, IN, NP	https://glottolog.org/resource/languoid/id/dzon1239			https://en.wikipedia.org/w/index.php?title=ISO_639:dzo
ebk	ebk	10K-100K	Latn	Eastern Bontok	n/a		n/a			https://en.wikipedia.org/w/index.php?title=ISO_639:ebk
ebu	ebu	300000	Latn	Embu	embu1241	KE	https://glottolog.org/resource/languoid/id/embu1241			https://en.wikipedia.org/w/index.php?title=ISO_639:ebu
efi	efi	2000000	Latn	Efik	efik1245	CM, NG	https://glottolog.org/resource/languoid/id/efik1245		Efik	https://en.wikipedia.org/w/index.php?title=ISO_639:efi
egl	egl	3000000	Latn	Emiliano	emil1241	IT	https://glottolog.org/resource/languoid/id/emil1241		Emiliân-Rumagnōl	https://en.wikipedia.org/w/index.php?title=ISO_639:egl
ego	ego	100000	Latn	Eggon	eggo1239	NG	https://glottolog.org/resource/languoid/id/eggo1239			https://en.wikipedia.org/w/index.php?title=ISO_639:ego
eip	eip	<10K	Latn	Eipomek	eipo1242	ID	https://glottolog.org/resource/languoid/id/eipo1242			https://en.wikipedia.org/w/index.php?title=ISO_639:eip
eja	eja	10K-100K	Latn	Ejamat	ejam1238	GW, SN	https://glottolog.org/resource/languoid/id/ejam1238			https://en.wikipedia.org/w/index.php?title=ISO_639:eja
eka	eka	10K-100K	Latn	Ekajuk	ekaj1238	NG	https://glottolog.org/resource/languoid/id/ekaj1238			https://en.wikipedia.org/w/index.php?title=ISO_639:eka
eke	eke	200000	Latn	Ekit	ekit1246	NG	https://glottolog.org/resource/languoid/id/ekit1246			https://en.wikipedia.org/w/index.php?title=ISO_639:eke
ekg	ekg	10K-100K	Latn	Ekari	ekar1243	ID	https://glottolog.org/resource/languoid/id/ekar1243			https://en.wikipedia.org/w/index.php?title=ISO_639:ekg
ekk	ekk	1000000	Latn	Estonian	esto1258	EE, LV, RU	https://glottolog.org/resource/languoid/id/esto1258			https://en.wikipedia.org/w/index.php?title=ISO_639:ekk
ekm	ekm	10K-100K	Latn	Elip	elip1238	CM	https://glottolog.org/resource/languoid/id/elip1238			https://en.wikipedia.org/w/index.php?title=ISO_639:ekm
eko	eko	10K-100K	Latn	Koti	koti1238	MZ	https://glottolog.org/resource/languoid/id/koti1238			https://en.wikipedia.org/w/index.php?title=ISO_639:eko
eky	eky	10K-100K	Kali	Eastern Kayah	east2342	MM, TH	https://glottolog.org/resource/languoid/id/east2342			https://en.wikipedia.org/w/index.php?title=ISO_639:eky
ell	el	13000000	Grek,Latn	Modern Greek	mode1248	AL, BG, CY, EG, GR, IT, MK, RO, TR, UA	https://glottolog.org/resource/languoid/id/mode1248		Κυπριακά	https://en.wikipedia.org/w/index.php?title=ISO_639:ell
ema	ema	10K-100K	Latn	Emai-Iuleha-Ora	emai1241	NG	https://glottolog.org/resource/languoid/id/emai1241			https://en.wikipedia.org/w/index.php?title=ISO_639:ema
emi	emi	<10K	Latn	Mussau-Emira	muss1246	PG	https://glottolog.org/resource/languoid/id/muss1246			https://en.wikipedia.org/w/index.php?title=ISO_639:emi
emp	emp	10K-100K	Latn	Northern Emberá	nort2972	CO, PA	https://glottolog.org/resource/languoid/id/nort2972			https://en.wikipedia.org/w/index.php?title=ISO_639:emp
emu	emu	200000	Deva	Eastern Muria	east2340	IN	https://glottolog.org/resource/languoid/id/east2340			https://en.wikipedia.org/w/index.php?title=ISO_639:emu
enb	enb	200000	Latn	Markweeta	mark1255	KE	https://glottolog.org/resource/languoid/id/mark1255			https://en.wikipedia.org/w/index.php?title=ISO_639:enb
end	end	100000	Latn	Ende	ende1246	ID	https://glottolog.org/resource/languoid/id/ende1246			https://en.wikipedia.org/w/index.php?title=ISO_639:end
enf	enf	<10K	Cyrl	Forest Enets	fore1265	RU	https://glottolog.org/resource/languoid/id/fore1265			https://en.wikipedia.org/w/index.php?title=ISO_639:enf
eng	en	372900000	Dsrt,Latn,Shaw	English	stan1293	AU, BZ, BM, BR, CA, KY, CK, CU, DO, FK, GI, GP, GT, GY, HN, IE, LR, MX, NF, PN, SH, ZA, SR, GB, US, VE	https://glottolog.org/resource/languoid/id/stan1293		𐐆𐑍𐑀𐑊𐐮𐑇, English, 𐑱𐑯𐑜𐑤𐑦𐑕𐑣	https://en.wikipedia.org/w/index.php?title=ISO_639:eng
enn	enn	10K-100K	Latn	Engenni	enge1239	NG	https://glottolog.org/resource/languoid/id/enge1239			https://en.wikipedia.org/w/index.php?title=ISO_639:enn
enq	enq	200000	Latn	Enga	enga1252	PG	https://glottolog.org/resource/languoid/id/enga1252			https://en.wikipedia.org/w/index.php?title=ISO_639:enq
enx	enx	<10K	Latn	Southern Lengua	sout2989		https://glottolog.org/resource/languoid/id/sout2989			https://en.wikipedia.org/w/index.php?title=ISO_639:enx
epo	eo	2000000	Latn	Esperanto	espe1235	PL	https://glottolog.org/resource/languoid/id/espe1235			https://en.wikipedia.org/w/index.php?title=ISO_639:epo
era	era	<10K	Latn	Eravallan	erav1242	IN	https://glottolog.org/resource/languoid/id/erav1242			https://en.wikipedia.org/w/index.php?title=ISO_639:era
erg	erg	<10K	Latn	Sie	siee1239	VU	https://glottolog.org/resource/languoid/id/siee1239			https://en.wikipedia.org/w/index.php?title=ISO_639:erg
eri	eri	<10K	Latn	Ogea	ogea1238	PG	https://glottolog.org/resource/languoid/id/ogea1238			https://en.wikipedia.org/w/index.php?title=ISO_639:eri
erk	erk	<10K	Latn	South Efate	sout2856	VU	https://glottolog.org/resource/languoid/id/sout2856			https://en.wikipedia.org/w/index.php?title=ISO_639:erk
ese	ese	<10K	Latn	Ese Ejja	esee1248	BO, PE	https://glottolog.org/resource/languoid/id/esee1248			https://en.wikipedia.org/w/index.php?title=ISO_639:ese
esg	esg	200000	Deva,Gonm	Aheri Gondi	n/a		n/a			https://en.wikipedia.org/w/index.php?title=ISO_639:esg
esi	esi	<10K	Latn	North Alaskan Inupiatun	nort2943	CA, US	https://glottolog.org/resource/languoid/id/nort2943			https://en.wikipedia.org/w/index.php?title=ISO_639:esi
esk	esk	<10K	Latn	Seward Alaska Inupiatun	nort2945		https://glottolog.org/resource/languoid/id/nort2945			https://en.wikipedia.org/w/index.php?title=ISO_639:esk
ess	ess	<10K	Cyrl,Latn	Central Siberian Yupik	cent2128	RU, US	https://glottolog.org/resource/languoid/id/cent2128			https://en.wikipedia.org/w/index.php?title=ISO_639:ess
esu	esu	10K-100K	Latn	Central Alaskan Yupik	cent2127	US	https://glottolog.org/resource/languoid/id/cent2127			https://en.wikipedia.org/w/index.php?title=ISO_639:esu
eto	eto	200000	Latn	Eton-Mengisa	eton1253	CM	https://glottolog.org/resource/languoid/id/eton1253			https://en.wikipedia.org/w/index.php?title=ISO_639:eto
etr	etr	<10K	Latn	Edolo	edol1239	PG	https://glottolog.org/resource/languoid/id/edol1239			https://en.wikipedia.org/w/index.php?title=ISO_639:etr
ets	ets	300000	Latn	Yekhee	yekh1238	NG	https://glottolog.org/resource/languoid/id/yekh1238			https://en.wikipedia.org/w/index.php?title=ISO_639:ets
etu	etu	100000	Latn	Ejagham	ejag1239	CM, NG	https://glottolog.org/resource/languoid/id/ejag1239			https://en.wikipedia.org/w/index.php?title=ISO_639:etu
etx	etx	10K-100K	Latn	Eten	eten1239	NG	https://glottolog.org/resource/languoid/id/eten1239			https://en.wikipedia.org/w/index.php?title=ISO_639:etx
eus	eu	500000	Latn	Basque	basq1248	FR, ES	https://glottolog.org/resource/languoid/id/basq1248			https://en.wikipedia.org/w/index.php?title=ISO_639:eus
eve	eve	<10K	Cyrl,Latn	Even	even1260	RU	https://glottolog.org/resource/languoid/id/even1260			https://en.wikipedia.org/w/index.php?title=ISO_639:eve
evn	evn	10K-100K	Cyrl,Latn,Mong	Evenki	even1259	CN, MN, RU	https://glottolog.org/resource/languoid/id/even1259			https://en.wikipedia.org/w/index.php?title=ISO_639:evn
ewe	ee	4000000	Latn	Ewe	ewee1241	GH, TG	https://glottolog.org/resource/languoid/id/ewee1241			https://en.wikipedia.org/w/index.php?title=ISO_639:ewe
ewo	ewo	600000	Latn	Ewondo	ewon1239	CM, GQ, GA	https://glottolog.org/resource/languoid/id/ewon1239		Ewondo	https://en.wikipedia.org/w/index.php?title=ISO_639:ewo
ext	ext	200000	Latn	Extremaduran	extr1243	PT, ES	https://glottolog.org/resource/languoid/id/extr1243		Estremeñu	https://en.wikipedia.org/w/index.php?title=ISO_639:ext
eyo	eyo	300000	Latn	Keiyo	keiy1238	KE	https://glottolog.org/resource/languoid/id/keiy1238			https://en.wikipedia.org/w/index.php?title=ISO_639:eyo
eza	eza	600000	Latn	Ezaa	ezaa1238		https://glottolog.org/resource/languoid/id/ezaa1238			https://en.wikipedia.org/w/index.php?title=ISO_639:eza
faa	faa	<10K	Latn	Fasu	fasu1242	PG	https://glottolog.org/resource/languoid/id/fasu1242			https://en.wikipedia.org/w/index.php?title=ISO_639:faa
fab	fab	<10K	Latn	Annobonese	fada1250	GQ	https://glottolog.org/resource/languoid/id/fada1250			https://en.wikipedia.org/w/index.php?title=ISO_639:fab
fad	fad	<10K	Latn	Wagi (Papua New Guinea)	wagi1249	PG	https://glottolog.org/resource/languoid/id/wagi1249			https://en.wikipedia.org/w/index.php?title=ISO_639:fad
fag	fag	<10K	Latn	Finongan	fino1238	PG	https://glottolog.org/resource/languoid/id/fino1238			https://en.wikipedia.org/w/index.php?title=ISO_639:fag
fai	fai	<10K	Latn	Faiwol	faiw1243	ID, PG	https://glottolog.org/resource/languoid/id/faiw1243			https://en.wikipedia.org/w/index.php?title=ISO_639:fai
fal	fal	10K-100K	Latn	South Fali	sout2782	CM	https://glottolog.org/resource/languoid/id/sout2782			https://en.wikipedia.org/w/index.php?title=ISO_639:fal
fan	fan	1000000	Latn	Fang (Equatorial Guinea)	fang1246	CM, CG, GQ, GA	https://glottolog.org/resource/languoid/id/fang1246		Faŋ	https://en.wikipedia.org/w/index.php?title=ISO_639:fan
fao	fo	10K-100K	Latn	Faroese	faro1244	DK, US	https://glottolog.org/resource/languoid/id/faro1244			https://en.wikipedia.org/w/index.php?title=ISO_639:fao
far	far	<10K	Latn	Fataleka	fata1245	SB	https://glottolog.org/resource/languoid/id/fata1245			https://en.wikipedia.org/w/index.php?title=ISO_639:far
fas	fa	81000000	Arab,Latn	Persian (macrolanguage)	n/a		n/a		فارسی ,Farsi	https://en.wikipedia.org/w/index.php?title=ISO_639:fas
fax	fax	10K-100K	Latn	Fala	fala1241	PT, ES	https://glottolog.org/resource/languoid/id/fala1241			https://en.wikipedia.org/w/index.php?title=ISO_639:fax
fay	fay	10K-100K	Arab	Fars Dialects	sout2645	IR	https://glottolog.org/resource/languoid/id/sout2645		دَوانی	https://en.wikipedia.org/w/index.php?title=ISO_639:fay
fia	fia	600000	Arab,Copt,Latn	Nobiin	nobi1240	EG, SD	https://glottolog.org/resource/languoid/id/nobi1240			https://en.wikipedia.org/w/index.php?title=ISO_639:fia
fij	fj	300000	Latn	Fijian	fiji1243	FJ	https://glottolog.org/resource/languoid/id/fiji1243		Na Vosa Vakaviti	https://en.wikipedia.org/w/index.php?title=ISO_639:fij
fil	fil	22000000	Latn,Tglg	Filipino	fili1244	PH	https://glottolog.org/resource/languoid/id/fili1244	Tagalog	Wikang Filipino	https://en.wikipedia.org/w/index.php?title=ISO_639:fil
fin	fi	5000000	Latn	Finnish	finn1318	EE, FI, NO, RU, SE	https://glottolog.org/resource/languoid/id/finn1318			https://en.wikipedia.org/w/index.php?title=ISO_639:fin
fip	fip	200000	Latn	Fipa	fipa1238	MW, TZ	https://glottolog.org/resource/languoid/id/fipa1238			https://en.wikipedia.org/w/index.php?title=ISO_639:fip
fit	fit	10K-100K	Latn	Tornedalen Finnish	torn1244	FI, SE	https://glottolog.org/resource/languoid/id/torn1244			https://en.wikipedia.org/w/index.php?title=ISO_639:fit
fkv	fkv	<10K	Latn	Kven Finnish	kven1236	FI, NO, RU	https://glottolog.org/resource/languoid/id/kven1236			https://en.wikipedia.org/w/index.php?title=ISO_639:fkv
fla	fla	<10K	Latn	Kalispel-Pend d'Oreille	kali1308	US	https://glottolog.org/resource/languoid/id/kali1308			https://en.wikipedia.org/w/index.php?title=ISO_639:fla
flr	flr	400000	Latn	Fuliiru	fuli1240	BI, CD	https://glottolog.org/resource/languoid/id/fuli1240			https://en.wikipedia.org/w/index.php?title=ISO_639:flr
fmp	fmp	100000	Latn	Fe'fe'	fefe1239	CM	https://glottolog.org/resource/languoid/id/fefe1239			https://en.wikipedia.org/w/index.php?title=ISO_639:fmp
fmu	fmu	400000	Deva	Far Western Muria	farw1235	IN	https://glottolog.org/resource/languoid/id/farw1235			https://en.wikipedia.org/w/index.php?title=ISO_639:fmu
fod	fod	10K-100K	Latn	Foodo	food1238	BJ, TG	https://glottolog.org/resource/languoid/id/food1238			https://en.wikipedia.org/w/index.php?title=ISO_639:fod
fon	fon	2000000	Latn	Fon	fonn1241	BJ, TG	https://glottolog.org/resource/languoid/id/fonn1241		Fɔ̀ngbè	https://en.wikipedia.org/w/index.php?title=ISO_639:fon
for	for	10K-100K	Latn	Fore	fore1270	PG	https://glottolog.org/resource/languoid/id/fore1270			https://en.wikipedia.org/w/index.php?title=ISO_639:for
fpe	fpe	10K-100K	Latn	Pichi	fern1234	GQ	https://glottolog.org/resource/languoid/id/fern1234			https://en.wikipedia.org/w/index.php?title=ISO_639:fpe
fqs	fqs	<10K	Latn	Momu-Fas	fass1245	PG	https://glottolog.org/resource/languoid/id/fass1245			https://en.wikipedia.org/w/index.php?title=ISO_639:fqs
fra	fr	80000000	Brai,Dupl,Latn	French	stan1290	AD, BE, CA, FR, GF, IT, LU, MC, PM, CH, US	https://glottolog.org/resource/languoid/id/stan1290		français	https://en.wikipedia.org/w/index.php?title=ISO_639:fra
frc	frc	10K-100K	Latn	Cajun French	caju1236	US	https://glottolog.org/resource/languoid/id/caju1236			https://en.wikipedia.org/w/index.php?title=ISO_639:frc
frp	frp	100000	Latn	Arpitan	fran1260	FR, IT, CH	https://glottolog.org/resource/languoid/id/fran1260			https://en.wikipedia.org/w/index.php?title=ISO_639:frp
frr	frr	10K-100K	Latn	Northern Frisian	nort2626	DK, DE	https://glottolog.org/resource/languoid/id/nort2626			https://en.wikipedia.org/w/index.php?title=ISO_639:frr
frs	frs	200000	Latn	German Northern Low Saxon	nort2628		https://glottolog.org/resource/languoid/id/nort2628			https://en.wikipedia.org/w/index.php?title=ISO_639:frs
fry	fy	800000	Latn	Western Frisian	west2354	NL	https://glottolog.org/resource/languoid/id/west2354		West-Frysk	https://en.wikipedia.org/w/index.php?title=ISO_639:fry
fud	fud	<10K	Latn	East Futuna	east2447	WF	https://glottolog.org/resource/languoid/id/east2447			https://en.wikipedia.org/w/index.php?title=ISO_639:fud
ful	ff	23500000	Adlm,Arab,Latn	Fula	fula1264	SN	https://glottolog.org/resource/languoid/id/fula1264	Fulah, Fulani, Fulfulde	𞤊𞤵𞤤𞤬𞤵𞤤𞤣𞤫, فولا, Fula	https://en.wikipedia.org/w/index.php?title=ISO_639:ful
fur	fur	600000	Latn	Friulian	friu1240	AT, IT	https://glottolog.org/resource/languoid/id/friu1240		Furlan	https://en.wikipedia.org/w/index.php?title=ISO_639:fur
fuy	fuy	10K-100K	Latn	Fuyug	fuyu1242	PG	https://glottolog.org/resource/languoid/id/fuyu1242			https://en.wikipedia.org/w/index.php?title=ISO_639:fuy
fvr	fvr	900000	Latn	Fur	furr1244	CF, TD, SD	https://glottolog.org/resource/languoid/id/furr1244			https://en.wikipedia.org/w/index.php?title=ISO_639:fvr
gaa	gaa	600000	Latn	Ga	gaaa1244	GH	https://glottolog.org/resource/languoid/id/gaaa1244			https://en.wikipedia.org/w/index.php?title=ISO_639:gaa
gaf	gaf	<10K	Latn	Gende	gend1249	PG	https://glottolog.org/resource/languoid/id/gend1249			https://en.wikipedia.org/w/index.php?title=ISO_639:gaf
gag	gag	600000	Cyrl,Latn	Gagauz	gaga1249	BG, MD, RO, UA	https://glottolog.org/resource/languoid/id/gaga1249		Gagauzça	https://en.wikipedia.org/w/index.php?title=ISO_639:gag
gah	gah	10K-100K	Latn	Alekano	alek1238	PG	https://glottolog.org/resource/languoid/id/alek1238			https://en.wikipedia.org/w/index.php?title=ISO_639:gah
gai	gai	<10K	Latn	Borei	bore1247	PG	https://glottolog.org/resource/languoid/id/bore1247			https://en.wikipedia.org/w/index.php?title=ISO_639:gai
gaj	gaj	10K-100K	Latn	Gadsup	gads1258	PG	https://glottolog.org/resource/languoid/id/gads1258			https://en.wikipedia.org/w/index.php?title=ISO_639:gaj
gam	gam	<10K	Latn	Kandawo	kand1303	PG	https://glottolog.org/resource/languoid/id/kand1303			https://en.wikipedia.org/w/index.php?title=ISO_639:gam
gan	gan	22000000	Hans	Gan Chinese	ganc1239	CN	https://glottolog.org/resource/languoid/id/ganc1239			https://en.wikipedia.org/w/index.php?title=ISO_639:gan
gas	gas	10K-100K	Gujr	Adiwasi Garasia	adiw1235	IN	https://glottolog.org/resource/languoid/id/adiw1235			https://en.wikipedia.org/w/index.php?title=ISO_639:gas
gaw	gaw	<10K	Latn	Nobonob	nobo1238	PG	https://glottolog.org/resource/languoid/id/nobo1238			https://en.wikipedia.org/w/index.php?title=ISO_639:gaw
gay	gay	300000	Latn	Gayo	gayo1244	ID	https://glottolog.org/resource/languoid/id/gayo1244		Basa Gayo	https://en.wikipedia.org/w/index.php?title=ISO_639:gay
gbf	gbf	<10K	Latn	Gaikundi	gaik1242	PG	https://glottolog.org/resource/languoid/id/gaik1242			https://en.wikipedia.org/w/index.php?title=ISO_639:gbf
gbi	gbi	10K-100K	Latn	Galela	gale1259	ID	https://glottolog.org/resource/languoid/id/gale1259			https://en.wikipedia.org/w/index.php?title=ISO_639:gbi
gbk	gbk	100000	Deva	Gaddi	gadd1242	IN	https://glottolog.org/resource/languoid/id/gadd1242			https://en.wikipedia.org/w/index.php?title=ISO_639:gbk
gbl	gbl	400000	Deva,Gujr	Gamit	gami1242	IN	https://glottolog.org/resource/languoid/id/gami1242			https://en.wikipedia.org/w/index.php?title=ISO_639:gbl
gbm	gbm	3000000	Deva,Latn	Garhwali	garh1243	CN, IN	https://glottolog.org/resource/languoid/id/garh1243		गढ़वाली	https://en.wikipedia.org/w/index.php?title=ISO_639:gbm
gbo	gbo	400000	Latn	Northern Grebo	nort2810	CI, LR	https://glottolog.org/resource/languoid/id/nort2810		Gbɛ̀po	https://en.wikipedia.org/w/index.php?title=ISO_639:gbo
gbp	gbp	200000	Latn	Gbaya-Bossangoa	gbay1287	CF	https://glottolog.org/resource/languoid/id/gbay1287			https://en.wikipedia.org/w/index.php?title=ISO_639:gbp
gbr	gbr	700000	Latn	Gbagyi	gbag1258	NG	https://glottolog.org/resource/languoid/id/gbag1258			https://en.wikipedia.org/w/index.php?title=ISO_639:gbr
gby	gby	400000	Latn	Gbari	gbar1246	NG	https://glottolog.org/resource/languoid/id/gbar1246			https://en.wikipedia.org/w/index.php?title=ISO_639:gby
gbz	gbz	10K-100K	Arab	Zoroastrian Yazdi	zoro1242	IR	https://glottolog.org/resource/languoid/id/zoro1242			https://en.wikipedia.org/w/index.php?title=ISO_639:gbz
gcf	gcf	1000000	Latn	Guadeloupe-Martinique Creole French	guad1242	GP, MQ	https://glottolog.org/resource/languoid/id/guad1242		Kwéyòl	https://en.wikipedia.org/w/index.php?title=ISO_639:gcf
gcr	gcr	200000	Latn	Guianese Creole French	guia1246	BR, GF	https://glottolog.org/resource/languoid/id/guia1246		Kréyòl	https://en.wikipedia.org/w/index.php?title=ISO_639:gcr
gde	gde	10K-100K	Latn	Gude	gude1246	CM, NG	https://glottolog.org/resource/languoid/id/gude1246			https://en.wikipedia.org/w/index.php?title=ISO_639:gde
gdg	gdg	<10K	Latn	Ga'dang	gada1258	PH	https://glottolog.org/resource/languoid/id/gada1258			https://en.wikipedia.org/w/index.php?title=ISO_639:gdg
gdn	gdn	<10K	Latn	Umanakaina	uman1240	PG	https://glottolog.org/resource/languoid/id/uman1240			https://en.wikipedia.org/w/index.php?title=ISO_639:gdn
gdq	gdq	100000	Arab	Mehri	mehr1241	KW, OM, YE	https://glottolog.org/resource/languoid/id/mehr1241		المهرية	https://en.wikipedia.org/w/index.php?title=ISO_639:gdq
gdr	gdr	<10K	Latn	Wipi	wipi1242	PG	https://glottolog.org/resource/languoid/id/wipi1242			https://en.wikipedia.org/w/index.php?title=ISO_639:gdr
gdx	gdx	3000000	Arab,Deva,Latn	Godwari	godw1241	IN	https://glottolog.org/resource/languoid/id/godw1241		गोड़वाड़ी	https://en.wikipedia.org/w/index.php?title=ISO_639:gdx
geb	geb	<10K	Latn	Kire	kire1240	PG	https://glottolog.org/resource/languoid/id/kire1240			https://en.wikipedia.org/w/index.php?title=ISO_639:geb
gec	gec	400000	Latn	Gboloo Grebo	gbol1235	CI, LR	https://glottolog.org/resource/languoid/id/gbol1235			https://en.wikipedia.org/w/index.php?title=ISO_639:gec
gej	gej	300000	Latn	Gen	genn1243	BJ, TG	https://glottolog.org/resource/languoid/id/genn1243			https://en.wikipedia.org/w/index.php?title=ISO_639:gej
gel	gel	10K-100K	Latn	Ut-Main	kagf1238	NG	https://glottolog.org/resource/languoid/id/kagf1238			https://en.wikipedia.org/w/index.php?title=ISO_639:gel
gew	gew	200000	Latn	Gera	gera1246	NG	https://glottolog.org/resource/languoid/id/gera1246			https://en.wikipedia.org/w/index.php?title=ISO_639:gew
gfk	gfk	<10K	Latn	Patpatar	patp1243	PG	https://glottolog.org/resource/languoid/id/patp1243			https://en.wikipedia.org/w/index.php?title=ISO_639:gfk
gho	gho	10000	Latn	Ghomara	ghom1257	MA	https://glottolog.org/resource/languoid/id/ghom1257			https://en.wikipedia.org/w/index.php?title=ISO_639:gho
ghs	ghs	10K-100K	Latn	Guhu-Samane	guhu1244	PG	https://glottolog.org/resource/languoid/id/guhu1244			https://en.wikipedia.org/w/index.php?title=ISO_639:ghs
gia	gia	<10K	Latn	Kitja	kitj1240	AU	https://glottolog.org/resource/languoid/id/kitj1240			https://en.wikipedia.org/w/index.php?title=ISO_639:gia
gil	gil	100000	Latn	Gilbertese	gilb1244	KI, SB	https://glottolog.org/resource/languoid/id/gilb1244	Kiribati	Taetae ni Kiribati	https://en.wikipedia.org/w/index.php?title=ISO_639:gil
gim	gim	10K-100K	Latn	Gimi (Eastern Highlands)	gimi1243	PG	https://glottolog.org/resource/languoid/id/gimi1243			https://en.wikipedia.org/w/index.php?title=ISO_639:gim
git	git	<10K	Latn	Gitxsan	gitx1241	CA	https://glottolog.org/resource/languoid/id/gitx1241			https://en.wikipedia.org/w/index.php?title=ISO_639:git
giz	giz	10K-100K	Latn	South Giziga	sout3051	CM	https://glottolog.org/resource/languoid/id/sout3051			https://en.wikipedia.org/w/index.php?title=ISO_639:giz
gjk	gjk	600000	Arab,Gujr	Kachi Koli	kach1272	IN, PK	https://glottolog.org/resource/languoid/id/kach1272		کچی کوہلی	https://en.wikipedia.org/w/index.php?title=ISO_639:gjk
gjn	gjn	200000	Latn	Gonja	gonj1241	GH	https://glottolog.org/resource/languoid/id/gonj1241			https://en.wikipedia.org/w/index.php?title=ISO_639:gjn
gju	gju	1000000	Arab,Deva,Latn	Gujari	guja1253	AF, IN, PK	https://glottolog.org/resource/languoid/id/guja1253		گوجری	https://en.wikipedia.org/w/index.php?title=ISO_639:gju
gkn	gkn	10K-100K	Latn	Gokana	goka1239	NG	https://glottolog.org/resource/languoid/id/goka1239			https://en.wikipedia.org/w/index.php?title=ISO_639:gkn
gkp	gkp	500000	Latn	Guinea Kpelle	guin1254	GN, LR	https://glottolog.org/resource/languoid/id/guin1254			https://en.wikipedia.org/w/index.php?title=ISO_639:gkp
gla	gd	10K-100K	Latn	Scottish Gaelic	scot1245	GB	https://glottolog.org/resource/languoid/id/scot1245		Gàidhlig	https://en.wikipedia.org/w/index.php?title=ISO_639:gla
gld	gld	<10K	Cyrl	Nanai	nana1257	CN, RU	https://glottolog.org/resource/languoid/id/nana1257			https://en.wikipedia.org/w/index.php?title=ISO_639:gld
gle	ga	200000	Latg,Latn	Irish	iris1253	IE, GB	https://glottolog.org/resource/languoid/id/iris1253			https://en.wikipedia.org/w/index.php?title=ISO_639:gle
glg	gl	2000000	Latn	Galician	gali1258	PT, ES	https://glottolog.org/resource/languoid/id/gali1258			https://en.wikipedia.org/w/index.php?title=ISO_639:glg
glk	glk	2000000	Arab	Gilaki	gila1241	IR	https://glottolog.org/resource/languoid/id/gila1241		گیلکی	https://en.wikipedia.org/w/index.php?title=ISO_639:glk
glv	gv	<10K	Latn	Manx	manx1243	GB	https://glottolog.org/resource/languoid/id/manx1243			https://en.wikipedia.org/w/index.php?title=ISO_639:glv
gmm	gmm	<10K	Latn	Gbaya-Mbodomo	gbay1281	CM, CF	https://glottolog.org/resource/languoid/id/gbay1281			https://en.wikipedia.org/w/index.php?title=ISO_639:gmm
gmv	gmv	2000000	Ethi,Latn	Gamo	gamo1243	ET	https://glottolog.org/resource/languoid/id/gamo1243		Gamotso	https://en.wikipedia.org/w/index.php?title=ISO_639:gmv
gmz	gmz	200000	Latn	Mgbo	mgbo1238		https://glottolog.org/resource/languoid/id/mgbo1238			https://en.wikipedia.org/w/index.php?title=ISO_639:gmz
gnb	gnb	10K-100K	Latn	Gangte	gang1266	IN, MM	https://glottolog.org/resource/languoid/id/gang1266			https://en.wikipedia.org/w/index.php?title=ISO_639:gnb
