ISO 639 code	BCP-47 code	Number of speakers (rounded)	Writing system(s), ISO 15924	Name (Glottolog)	Glottocode (Glottolog)	Region, ISO 3166 (Glottolog)	Link to Glottolog	Alternative Name(s)	Endonym	Link to Wikipedia
ssc	ssc	100000	Latn	Suba-Simbiti	suba1252	TZ	https://glottolog.org/resource/languoid/id/suba1252			https://en.wikipedia.org/w/index.php?title=ISO_639:ssc
ssd	ssd	<10K	Latn	Siroi	siro1249	PG	https://glottolog.org/resource/languoid/id/siro1249			https://en.wikipedia.org/w/index.php?title=ISO_639:ssd
ssf	ssf	<10K	Latn	Thao	thao1240	TW	https://glottolog.org/resource/languoid/id/thao1240			https://en.wikipedia.org/w/index.php?title=ISO_639:ssf
ssg	ssg	<10K	Latn	Seimat	seim1238	PG	https://glottolog.org/resource/languoid/id/seim1238			https://en.wikipedia.org/w/index.php?title=ISO_639:ssg
sss	sss	100000	Thai	Sô	sooo1254	LA, TH, VN	https://glottolog.org/resource/languoid/id/sooo1254			https://en.wikipedia.org/w/index.php?title=ISO_639:sss
ssw	ss	3000000	Latn	Swati	swat1243	SZ, LS, MZ, ZA	https://glottolog.org/resource/languoid/id/swat1243		SiSwati	https://en.wikipedia.org/w/index.php?title=ISO_639:ssw
ssx	ssx	<10K	Latn	Samberigi	samb1321	PG	https://glottolog.org/resource/languoid/id/samb1321			https://en.wikipedia.org/w/index.php?title=ISO_639:ssx
ssy	ssy	200000	Ethi,Latn	Saho	saho1246	ER, ET	https://glottolog.org/resource/languoid/id/saho1246			https://en.wikipedia.org/w/index.php?title=ISO_639:ssy
sti	sti	10K-100K	Latn	Bulo Stieng	bulo1242	KH, VN	https://glottolog.org/resource/languoid/id/bulo1242			https://en.wikipedia.org/w/index.php?title=ISO_639:sti
stj	stj	100000	Latn	Matya Samo	maty1235	BF, ML	https://glottolog.org/resource/languoid/id/maty1235			https://en.wikipedia.org/w/index.php?title=ISO_639:stj
stk	stk	<10K	Latn	Arammba	aram1253	PG	https://glottolog.org/resource/languoid/id/aram1253			https://en.wikipedia.org/w/index.php?title=ISO_639:stk
stl	stl	10K-100K	Latn	Stellingwerfs	stel1238	NL	https://glottolog.org/resource/languoid/id/stel1238			https://en.wikipedia.org/w/index.php?title=ISO_639:stl
stn	stn	<10K	Latn	Owa	owaa1237	SB	https://glottolog.org/resource/languoid/id/owaa1237			https://en.wikipedia.org/w/index.php?title=ISO_639:stn
sto	sto	<10K	Latn	Stoney	ston1242	CA	https://glottolog.org/resource/languoid/id/ston1242			https://en.wikipedia.org/w/index.php?title=ISO_639:sto
stp	stp	10K-100K	Latn	Southeastern Tepehuan	sout2976	MX	https://glottolog.org/resource/languoid/id/sout2976			https://en.wikipedia.org/w/index.php?title=ISO_639:stp
stq	stq	<10K	Latn	Ems-Weser Frisian	sate1242	DE	https://glottolog.org/resource/languoid/id/sate1242			https://en.wikipedia.org/w/index.php?title=ISO_639:stq
str	str	<10K	Latn	Northern Straits Salish	stra1244	CA, US	https://glottolog.org/resource/languoid/id/stra1244			https://en.wikipedia.org/w/index.php?title=ISO_639:str
stv	stv	900000	Ethi,Latn	Silt'e	silt1240	ET	https://glottolog.org/resource/languoid/id/silt1240		ስልጥኘ	https://en.wikipedia.org/w/index.php?title=ISO_639:stv
sty	sty	10K-100K	Cyrl	Siberian Tatar	sibe1250	RU	https://glottolog.org/resource/languoid/id/sibe1250		Сыбырца	https://en.wikipedia.org/w/index.php?title=ISO_639:sty
sua	sua	<10K	Latn	Sulka	sulk1246	PG	https://glottolog.org/resource/languoid/id/sulk1246			https://en.wikipedia.org/w/index.php?title=ISO_639:sua
suc	suc	100000	Latn	Western Subanon	west2557	PH	https://glottolog.org/resource/languoid/id/west2557			https://en.wikipedia.org/w/index.php?title=ISO_639:suc
sue	sue	<10K	Latn	Suena	suen1241	PG	https://glottolog.org/resource/languoid/id/suen1241			https://en.wikipedia.org/w/index.php?title=ISO_639:sue
suj	suj	200000	Latn	Shubi	shub1238	BI, TZ	https://glottolog.org/resource/languoid/id/shub1238			https://en.wikipedia.org/w/index.php?title=ISO_639:suj
suk	suk	5000000	Latn	Sukuma	suku1261	TZ	https://glottolog.org/resource/languoid/id/suku1261		Kisukuma	https://en.wikipedia.org/w/index.php?title=ISO_639:suk
sun	su	42000000	Arab,Java,Latn,Sund	Sundanese	sund1252	ID	https://glottolog.org/resource/languoid/id/sund1252		Basa Sunda, ᮘᮞ ᮞᮥᮔ᮪ᮓ, بَاسَا سُوْندَا	https://en.wikipedia.org/w/index.php?title=ISO_639:sun
